ts_in,ts_out,JointPosition1,JointPosition2,JointPosition3,JointPosition4,JointPosition5,JointPosition6,JointPosition7,GripperData_Width,GripperData_Speed
2024-08-12 19:34:26.5403262,2024-08-12 19:34:26.5404168,0.000042,-0.785369,-0.000013,-2.356418,-0.000118,1.570623,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:26.5484045,2024-08-12 19:34:26.5485164,0.000041,-0.785361,-0.000007,-2.356416,-0.000116,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:26.5605723,2024-08-12 19:34:26.5606701,0.000040,-0.785358,-0.000009,-2.356416,-0.000116,1.570627,0.785587,0.010000000000000,0.010000
2024-08-12 19:34:26.5686273,2024-08-12 19:34:26.5687126,0.000042,-0.785356,-0.000007,-2.356418,-0.000117,1.570625,0.785587,0.010000000000000,0.010000
2024-08-12 19:34:26.5787064,2024-08-12 19:34:26.5788294,0.000047,-0.785363,-0.000007,-2.356418,-0.000116,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.5867559,2024-08-12 19:34:26.5868394,0.000045,-0.785363,-0.000005,-2.356421,-0.000115,1.570623,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.5988925,2024-08-12 19:34:26.5990068,0.000037,-0.785359,-0.000007,-2.356421,-0.000117,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.6069437,2024-08-12 19:34:26.6070430,0.000046,-0.785369,-0.000007,-2.356413,-0.000117,1.570625,0.785587,0.010000000000000,0.010000
2024-08-12 19:34:26.6190635,2024-08-12 19:34:26.6191653,0.000043,-0.785361,-0.000007,-2.356418,-0.000116,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.6271383,2024-08-12 19:34:26.6272509,0.000040,-0.785361,-0.000010,-2.356421,-0.000117,1.570622,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.6392567,2024-08-12 19:34:26.6393710,0.000041,-0.785363,-0.000007,-2.356416,-0.000116,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.6473223,2024-08-12 19:34:26.6474359,0.000040,-0.785363,-0.000010,-2.356423,-0.000118,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:26.6594326,2024-08-12 19:34:26.6595353,0.000043,-0.785363,-0.000007,-2.356416,-0.000118,1.570625,0.785587,0.010000000000000,0.010000
2024-08-12 19:34:26.6675587,2024-08-12 19:34:26.6676725,0.000043,-0.785361,-0.000007,-2.356421,-0.000118,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.6796825,2024-08-12 19:34:26.6797945,0.000041,-0.785356,-0.000007,-2.356416,-0.000118,1.570624,0.785597,0.010000000000000,0.010000
2024-08-12 19:34:26.6877360,2024-08-12 19:34:26.6878380,0.000046,-0.785361,-0.000010,-2.356418,-0.000117,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:26.6998447,2024-08-12 19:34:26.6999502,0.000040,-0.785358,-0.000005,-2.356424,-0.000115,1.570624,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:26.7078983,2024-08-12 19:34:26.7079948,0.000042,-0.785353,-0.000010,-2.356424,-0.000118,1.570623,0.785588,0.010000000000000,0.010000
2024-08-12 19:34:26.7200209,2024-08-12 19:34:26.7201231,0.000038,-0.785363,-0.000007,-2.356421,-0.000116,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.7280990,2024-08-12 19:34:26.7282085,0.000042,-0.785358,-0.000007,-2.356415,-0.000116,1.570622,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.7402046,2024-08-12 19:34:26.7403117,0.000041,-0.785363,-0.000005,-2.356416,-0.000116,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.7482720,2024-08-12 19:34:26.7483708,0.000043,-0.785362,-0.000007,-2.356424,-0.000118,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.7603900,2024-08-12 19:34:26.7604871,0.000043,-0.785356,-0.000005,-2.356424,-0.000116,1.570624,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:26.7684513,2024-08-12 19:34:26.7685475,0.000041,-0.785361,-0.000005,-2.356418,-0.000117,1.570627,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.7805881,2024-08-12 19:34:26.7807084,0.000040,-0.785356,-0.000010,-2.356418,-0.000116,1.570627,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.7886533,2024-08-12 19:34:26.7887542,0.000043,-0.785361,-0.000013,-2.356421,-0.000116,1.570627,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:26.7987239,2024-08-12 19:34:26.7988312,0.000042,-0.785356,-0.000007,-2.356416,-0.000116,1.570627,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.8067850,2024-08-12 19:34:26.8068816,0.000043,-0.785361,-0.000009,-2.356421,-0.000116,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.8189180,2024-08-12 19:34:26.8190408,0.000040,-0.785358,-0.000007,-2.356416,-0.000118,1.570624,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:26.8269937,2024-08-12 19:34:26.8271082,0.000041,-0.785363,-0.000010,-2.356418,-0.000117,1.570624,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:26.8391066,2024-08-12 19:34:26.8392495,0.000042,-0.785361,-0.000005,-2.356416,-0.000117,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.8475144,2024-08-12 19:34:26.8476914,0.000042,-0.785363,-0.000007,-2.356421,-0.000116,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:26.8596372,2024-08-12 19:34:26.8598097,0.000038,-0.785358,-0.000005,-2.356413,-0.000116,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.8677005,2024-08-12 19:34:26.8678510,0.000042,-0.785356,-0.000007,-2.356418,-0.000117,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.8798100,2024-08-12 19:34:26.8799602,0.000040,-0.785361,-0.000007,-2.356418,-0.000116,1.570624,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:26.8878659,2024-08-12 19:34:26.8880056,0.000042,-0.785361,-0.000005,-2.356418,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.9000230,2024-08-12 19:34:26.9001751,0.000040,-0.785363,-0.000007,-2.356421,-0.000115,1.570624,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:26.9081180,2024-08-12 19:34:26.9082687,0.000040,-0.785363,-0.000010,-2.356424,-0.000116,1.570624,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:26.9202696,2024-08-12 19:34:26.9204207,0.000038,-0.785363,-0.000005,-2.356421,-0.000116,1.570625,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:26.9284427,2024-08-12 19:34:26.9286248,0.000040,-0.785366,-0.000005,-2.356421,-0.000115,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.9405460,2024-08-12 19:34:26.9407237,0.000042,-0.785369,-0.000010,-2.356416,-0.000117,1.570627,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.9486192,2024-08-12 19:34:26.9487890,0.000042,-0.785361,-0.000007,-2.356416,-0.000116,1.570624,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:26.9586753,2024-08-12 19:34:26.9588342,0.000040,-0.785361,-0.000007,-2.356421,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.9667407,2024-08-12 19:34:26.9668974,0.000040,-0.785363,-0.000010,-2.356413,-0.000116,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.9789024,2024-08-12 19:34:26.9790749,0.000040,-0.785366,-0.000007,-2.356416,-0.000118,1.570624,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:26.9991116,2024-08-12 19:34:26.9992233,0.000042,-0.785358,-0.000007,-2.356421,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:27.0072729,2024-08-12 19:34:27.0073585,0.000037,-0.785369,-0.000002,-2.356421,-0.000117,1.570623,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:27.0193917,2024-08-12 19:34:27.0194981,0.000041,-0.785363,-0.000007,-2.356419,-0.000118,1.570625,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:27.0274546,2024-08-12 19:34:27.0275464,0.000045,-0.785358,-0.000005,-2.356418,-0.000118,1.570623,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:27.0395649,2024-08-12 19:34:27.0396556,0.000050,-0.785361,-0.000007,-2.356418,-0.000116,1.570624,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:27.0476271,2024-08-12 19:34:27.0477214,0.000040,-0.785361,-0.000010,-2.356418,-0.000116,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:27.0597683,2024-08-12 19:34:27.0599542,0.000037,-0.785366,-0.000007,-2.356421,-0.000116,1.570627,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:27.0678744,2024-08-12 19:34:27.0679762,0.000037,-0.785368,-0.000005,-2.356421,-0.000117,1.570624,0.785588,0.010000000000000,0.010000
2024-08-12 19:34:27.0799536,2024-08-12 19:34:27.0800583,0.000040,-0.785361,-0.000005,-2.356421,-0.000117,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:27.0880071,2024-08-12 19:34:27.0881003,0.000038,-0.785363,-0.000010,-2.356418,-0.000116,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:27.1001471,2024-08-12 19:34:27.1002527,0.000042,-0.785361,-0.000004,-2.356421,-0.000118,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:27.1082012,2024-08-12 19:34:27.1082919,0.000040,-0.785358,-0.000013,-2.356416,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:27.1203272,2024-08-12 19:34:27.1204319,0.000045,-0.785361,-0.000005,-2.356424,-0.000117,1.570624,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:27.1284097,2024-08-12 19:34:27.1285232,0.000042,-0.785361,-0.000005,-2.356416,-0.000117,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:27.1404709,2024-08-12 19:34:27.1405624,0.000042,-0.785363,-0.000010,-2.356421,-0.000117,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:27.1485368,2024-08-12 19:34:27.1486282,0.000041,-0.785361,-0.000010,-2.356418,-0.000117,1.570627,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:27.1585826,2024-08-12 19:34:27.1586700,0.000042,-0.785358,-0.000007,-2.356418,-0.000118,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:27.1666525,2024-08-12 19:34:27.1667513,0.000038,-0.785361,-0.000005,-2.356421,-0.000117,1.570625,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:27.1787739,2024-08-12 19:34:27.1788729,0.000045,-0.785361,-0.000007,-2.356418,-0.000117,1.570627,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:27.1868291,2024-08-12 19:34:27.1869143,0.000040,-0.785371,-0.000007,-2.356421,-0.000115,1.570625,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:27.1989506,2024-08-12 19:34:27.1990345,0.000040,-0.785366,-0.000007,-2.356416,-0.000118,1.570625,0.785587,0.010000000000000,0.010000
2024-08-12 19:34:27.2070051,2024-08-12 19:34:27.2070887,0.000038,-0.785361,-0.000010,-2.356421,-0.000118,1.570625,0.785588,0.010000000000000,0.010000
